date_iso,plant_key,energy_kwh,irradiance_kwh_m2,irradiance_source,pr,pr_confidence,capacity_factor,capacity_factor_confidence,inverters_reporting,inverters_with_reboot,notes,written_at_utc,pr_stc,specific_yield,availability,soiling_loss_pct,data_class,cloud_coverage_pct,expected_kwh,production_pct,status_note,design_kwh,billable_kwh
2026-08-20,NL2,954.6,6.578,shinemaster_history,0.4146,HIGH,0.127,HIGH,2,0,,2026-08-21T12:00:28+00:00,0.4518,2.727,1,,partial,20.8706,1653.71,,energy corrected from vendor daily counter (was 914.1),1727.2,914.1
2026-08-20,GTO2,1629.641,6.0088,shinemaster_history,0.289,HIGH,0.1016,LOW,3,0,,2026-08-21T12:00:30+00:00,0.3138,1.7366,0.75,,partial,94.2345,2530.91,,energy corrected from vendor daily counter (was 975.3),3020.7,975.3
2026-08-21,SLP1,1085.1,7.7293,shinemaster_history,0.5915,HIGH,0.2403,HIGH,2,0,,2026-08-22T12:00:12+00:00,0.6436,4.5719,1,,partial,54.848,1096.79,,energy corrected from vendor daily counter (was 865.0) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,1085.1
2026-08-21,SLP2,1636.8,8.0925,shinemaster_history,0.4915,HIGH,0.1862,MEDIUM,2,1,1 inverter(s) detected mid-day reboots; energy total uses max() instead of last(),2026-08-22T12:00:14+00:00,0.5349,3.9772,1,,partial,50.604,1690.99,,energy corrected from vendor daily counter (was 1219.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1636.8
2026-08-21,GTO1,3111.6,4.2896,shinemaster_history,0.8674,HIGH,0.1866,HIGH,6,0,,2026-08-22T12:00:16+00:00,0.9541,3.7207,1,,partial,88.4281,2632.73,,energy corrected from vendor daily counter (was 3044.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,3111.6
2026-08-21,MEX1,2184.83,4.1586,shinemaster_history,0.8658,HIGH,0.1956,HIGH,3,0,,2026-08-22T12:00:18+00:00,0.9049,3.6007,1,,partial,85.7696,1829.92,,energy corrected from vendor daily counter (was 2112.6) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,2184.83
2026-08-21,NL1,3089.5,6.5678,shinemaster_history,0.6464,HIGH,0.2202,HIGH,4,0,,2026-08-22T12:00:19+00:00,0.7136,4.2454,1,,partial,54.0763,3041.22,,energy corrected from vendor daily counter (was 2621.1) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3089.5
2026-08-21,MEX2,2361.54,4.1586,shinemaster_history,0.902,HIGH,0.2118,HIGH,3,0,,2026-08-22T12:00:21+00:00,0.9426,3.751,1,,partial,85.7696,1902.06,,energy corrected from vendor daily counter (was 2287.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,2361.54
2026-08-21,MEX3,574.6,4.1586,shinemaster_history,0.8597,HIGH,0.1862,HIGH,1,0,,2026-08-22T12:00:23+00:00,0.8985,3.5753,1,,partial,83.6053,483.37,,energy corrected from vendor daily counter (was 554.1),805.4,554.1
2026-08-21,NL2,781.2,6.5678,shinemaster_history,0.3147,HIGH,0.0962,HIGH,2,0,,2026-08-22T12:00:24+00:00,0.3474,2.0671,1,,partial,59.0167,1651.14,,energy corrected from vendor daily counter (was 692.9),1727.2,692.9
2026-08-21,GTO2,1607.72,6.5574,shinemaster_history,0.2983,HIGH,0.1144,LOW,3,0,,2026-08-22T12:00:27+00:00,0.3266,1.9561,0.75,,partial,98.4107,2761.98,,energy corrected from vendor daily counter (was 1098.5),3020.7,1098.52
2026-08-22,SLP1,877.8,6.3155,shinemaster_history,0.6347,HIGH,0.2107,HIGH,2,0,,2026-08-23T12:00:13+00:00,0.6922,4.0085,1,,partial,62.6208,896.17,,energy corrected from vendor daily counter (was 758.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,877.8
2026-08-22,SLP2,1317.9,6.3445,shinemaster_history,0.6536,HIGH,0.1941,HIGH,2,0,,2026-08-23T12:00:14+00:00,0.7043,4.147,1,,partial,57.6599,1325.73,,energy corrected from vendor daily counter (was 1155.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1317.9
2026-08-22,GTO1,3644.1,4.9961,shinemaster_history,0.7685,HIGH,0.1925,MEDIUM,6,1,1 inverter(s) detected mid-day reboots; energy total uses max() instead of last(),2026-08-23T12:00:17+00:00,0.8419,3.8394,1,,partial,97.8143,3066.34,,energy corrected from vendor daily counter (was 3575.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,3644.1
2026-08-22,MEX1,2201.12,4.3726,shinemaster_history,0.8506,HIGH,0.202,HIGH,3,0,,2026-08-23T12:00:18+00:00,0.8955,3.7192,1,,partial,92.7826,1924.09,,Partial data day — daily figures not comparable. | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,2201.12
2026-08-22,NL1,3623.5,7.5717,shinemaster_history,0.6856,HIGH,0.2693,HIGH,4,0,,2026-08-23T12:00:20+00:00,0.757,5.1914,0.3864,,partial,25.3559,3506.08,,energy corrected from vendor daily counter (was 3205.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3623.5
2026-08-22,MEX2,2342.02,4.3726,shinemaster_history,0.8729,HIGH,0.2155,HIGH,3,0,,2026-08-23T12:00:22+00:00,0.9191,3.8167,1,,partial,92.7826,1999.94,,Partial data day — daily figures not comparable. | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,2342.02
2026-08-22,MEX3,552.1,4.3726,shinemaster_history,0.8087,HIGH,0.1841,HIGH,1,0,,2026-08-23T12:00:24+00:00,0.8515,3.5359,1,,partial,93.8437,508.25,,energy corrected from vendor daily counter (was 548.0),805.4,548
2026-08-22,NL2,1226,7.5717,shinemaster_history,0.4379,HIGH,0.1543,HIGH,2,0,,2026-08-23T12:00:26+00:00,0.4768,3.3153,1,,partial,23.2075,1903.53,,energy corrected from vendor daily counter (was 1111.3),1727.2,1111.3
2026-08-22,GTO2,1208.604,5.2817,shinemaster_history,0.2971,HIGH,0.0918,LOW,3,0,,2026-08-23T12:00:28+00:00,0.3213,1.5691,0.75,,partial,85.01,2224.65,,energy corrected from vendor daily counter (was 881.2),3020.7,881.22
2026-08-23,SLP1,961.4,6.3814,shinemaster_history,0.6648,HIGH,0.223,HIGH,2,0,,2026-08-24T12:00:14+00:00,0.7275,4.2426,1,,partial,50.2256,905.52,,energy corrected from vendor daily counter (was 802.7) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,961.4
2026-08-23,SLP2,1482.6,7.2656,shinemaster_history,0.6026,HIGH,0.2049,HIGH,2,0,,2026-08-24T12:00:16+00:00,0.659,4.3782,0.75,,partial,44.2159,1518.2,,energy corrected from vendor daily counter (was 1219.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1482.6
2026-08-23,GTO1,4194.6,6.3322,shinemaster_history,0.6507,HIGH,0.2066,HIGH,6,0,,2026-08-24T12:00:18+00:00,0.7233,4.1205,1,,partial,61.5238,3886.37,,energy corrected from vendor daily counter (was 3371.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,4194.6
2026-08-23,MEX1,1926.13,3.3849,shinemaster_history,0.8512,HIGH,0.1565,HIGH,3,0,,2026-08-24T12:00:20+00:00,0.8734,2.8811,1,,partial,97.5364,1489.47,,energy corrected from vendor daily counter (was 1690.3) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,1926.13
2026-08-23,NL1,3649.1,7.7374,shinemaster_history,0.662,HIGH,0.2657,HIGH,4,0,,2026-08-24T12:00:21+00:00,0.7278,5.1223,1,,partial,8.3433,3582.8,,energy corrected from vendor daily counter (was 3162.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3649.1
2026-08-23,MEX2,1915.35,3.3849,shinemaster_history,0.8081,HIGH,0.1545,HIGH,3,0,,2026-08-24T12:00:23+00:00,0.8293,2.7353,1,,partial,97.5364,1548.19,,energy corrected from vendor daily counter (was 1668.1) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,1915.35
2026-08-23,MEX3,476,3.3849,shinemaster_history,0.7951,HIGH,0.1402,HIGH,1,0,,2026-08-24T12:00:25+00:00,0.8157,2.6913,1,,partial,98.7137,393.44,,energy corrected from vendor daily counter (was 417.1),805.4,417.1
2026-08-23,NL2,1252.4,7.7374,shinemaster_history,0.4328,HIGH,0.1559,HIGH,2,0,,2026-08-24T12:00:27+00:00,0.4765,3.3484,1,,partial,7.3727,1945.18,,energy corrected from vendor daily counter (was 1122.4),1727.2,1122.4
2026-08-23,GTO2,1430.213,4.289,shinemaster_history,0.3345,HIGH,0.0839,LOW,3,0,,2026-08-24T12:00:29+00:00,0.3463,1.4348,0.75,,partial,94.5429,1806.53,,energy corrected from vendor daily counter (was 805.8),3020.7,805.81
2026-08-24,SLP1,486.2,3.1655,shinemaster_history,0.5532,HIGH,0.092,HIGH,2,0,,2026-08-25T12:00:12+00:00,0.5629,1.7511,1,,partial,81.8148,449.18,,energy corrected from vendor daily counter (was 331.3) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,486.2
2026-08-24,SLP2,709.9,3.1827,shinemaster_history,0.5837,HIGH,0.087,HIGH,2,0,,2026-08-25T12:00:14+00:00,0.594,1.8578,1,,partial,84.2868,665.05,,energy corrected from vendor daily counter (was 517.6) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,709.9
2026-08-24,GTO1,3006.9,4.1932,shinemaster_history,0.8189,HIGH,0.1722,HIGH,6,0,,2026-08-25T12:00:16+00:00,0.8909,3.4337,1,,partial,37.9799,2573.57,,energy corrected from vendor daily counter (was 2809.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,3006.9
2026-08-24,MEX1,1552.43,2.2143,shinemaster_history,0.9294,HIGH,0.1118,HIGH,3,0,,2026-08-25T12:00:18+00:00,0.9557,2.0579,1,,partial,98.7517,974.36,,energy corrected from vendor daily counter (was 1207.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,1552.43
2026-08-24,NL1,3595.7,7.3891,shinemaster_history,0.673,HIGH,0.2579,HIGH,4,0,,2026-08-25T12:00:21+00:00,0.7359,4.9726,1,,partial,16.0169,3421.52,,energy corrected from vendor daily counter (was 3070.1) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3595.7
2026-08-24,MEX2,1654.13,2.2143,shinemaster_history,1.1231,HIGH,0.1404,HIGH,3,0,,2026-08-25T12:00:22+00:00,1.1555,2.4868,1,,partial,98.7517,1012.78,,energy corrected from vendor daily counter (was 1516.6) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,1654.13
2026-08-24,MEX3,419.9,2.2143,shinemaster_history,1.1204,HIGH,0.1292,HIGH,1,0,,2026-08-25T12:00:23+00:00,1.1519,2.481,1,,partial,99.6602,257.38,,energy corrected from vendor daily counter (was 384.5),805.4,384.5
2026-08-24,NL2,1198,7.3891,shinemaster_history,0.4334,HIGH,0.1491,HIGH,2,0,,2026-08-25T12:00:26+00:00,0.4741,3.2023,1,,partial,13.2559,1857.62,,energy corrected from vendor daily counter (was 1073.4),1727.2,1073.4
2026-08-24,GTO2,1608.857,4.9348,shinemaster_history,0.3419,HIGH,0.0987,LOW,3,0,,2026-08-25T12:00:28+00:00,0.3612,1.6874,0.5,,partial,99.2247,2078.54,,energy corrected from vendor daily counter (was 947.6),3020.7,947.65
2026-08-25,SLP1,735.8,5.1757,shinemaster_history,0.0002,HIGH,0.0001,HIGH,2,0,,2026-08-26T12:00:12+00:00,0.0002,0.0011,1,,partial,89.9,734.43,,energy corrected from vendor daily counter (was 0.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,735.8
2026-08-25,SLP2,1087.9,5.1925,shinemaster_history,0,NONE,0,NONE,2,0,,2026-08-26T12:00:14+00:00,0,0,1,,partial,89.02,1085.01,,energy corrected from vendor daily counter (was 0.0) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1087.9
2026-08-25,GTO1,3826.8,5.3574,shinemaster_history,0,NONE,0,NONE,6,0,,2026-08-26T12:00:15+00:00,0,0,1,,partial,89.6357,3288.09,,energy corrected from vendor daily counter (was 0.0) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,3826.8
2026-08-25,MEX1,1667.72,0.3044,shinemaster_history,0.0029,HIGH,0,HIGH,3,0,,2026-08-26T12:00:16+00:00,0.0028,0.0009,1,,partial,92.8364,133.95,,energy corrected from vendor daily counter (was 0.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,1667.72
2026-08-25,NL1,3601,7.3506,shinemaster_history,0.0004,HIGH,0.0002,HIGH,4,0,,2026-08-26T12:00:17+00:00,0.0004,0.0031,1,,partial,13.76,3403.7,,energy corrected from vendor daily counter (was 1.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3601
2026-08-25,MEX2,1777.13,0.3044,shinemaster_history,0.0094,HIGH,0.0002,HIGH,3,0,,2026-08-26T12:00:18+00:00,0.009,0.0029,1,,partial,92.8364,139.23,,energy corrected from vendor daily counter (was 1.7) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,1777.13
